töötaja;töötaja;;42600
töötaja;töötaja;;42600
töötaja;töötaja;;42600
palga_töötaja;palga_töötaja;;42600
töötaja;töötaja;;42600
asja_tundja;asja_tundja;;42600
töötaja;töötaja;;42600
juhataja;juhataja;;42600
töö_võtja;töö_võtja;;42600
töö_andja;töö_andja;;42600
näitleja;näitleja;;42600
pressi_esindaja;pressi_esindaja;;42600
röövija;röövija;;42600
näitleja;näitleja;;42600
mööda_käija;mööda_käija;;42600
näitleja;näitleja;;42600
palja;palja;välja;42600
näitleja;näitleja;;42600
näitleja;näitleja;;42600
koostaja;koostaja;;42600
pressi_esindaja;pressi_esindaja;;42600
esindaja;esindaja;;42600
luuletaja;luuletaja;;42600
toimetaja;toimetaja;;42600
koostaja;koostaja;;42600
tõlkija;tõlkija;;42600
näitleja;näitleja;;42600
juhataja;juhataja;;42600
tootja;tootja;;42600
maale_tooja;maale_tooja;;42600
pressi_esindaja;pressi_esindaja;;42600
pressi_esindaja;pressi_esindaja;;42600
tarbija;tarbija;;42600
valmistaja;valmistaja;;42600
importija;importija;;42600
tootja;tootja;;42600
levitaja;levitaja;;42600
pärija;pärija;;42600
hooldaja;hooldaja;;42600
hooldaja;hooldaja;;42600
pärija;pärija;;42600
hooldaja;hooldaja;;42600
hooldaja;hooldaja;;42600
pärija;pärija;;42600
hooldaja;hooldaja;;42600
pärandaja;pärandaja;;42600
hooldaja;hooldaja;;42600
hooldaja;hooldaja;;42600
pärija;pärija;;42600
hooldaja;hooldaja;;42600
pärija;pärija;;42600
pärija;pärija;;42600
pärija;pärija;;42600
esindaja;esindaja;;42600
pärija;pärija;;42600
pressi_esindaja;pressi_esindaja;;42600
töötaja;töötaja;;42600
näitleja;näitleja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
korra_kaitsja;korra_kaitsja;;42600
juhataja;juhataja;;42600
nõustaja;nõustaja;;42600
töötaja;töötaja;;42600
juhataja;juhataja;;42600
pressi_esindaja;pressi_esindaja;;42600
ründaja;ründaja;;42600
juhataja;juhataja;;42600
tapja;tapja;;42600
ümber_maa_ilma_purjetaja;ümber_maailma_purjetaja;;42600
jää_lõhkuja;jää_lõhkuja;;42600
kurja_tegija;kurja_tegeja;tegelt i;42600
korteri_valdaja;korteri_valdaja;;42600
sala_kauba_vedaja;salakauba_vedaja;;42600
tolli_töötaja;tolli_töötaja;;42600
kartuli_kasvataja;kartuli_kasvataja;;42600
asendus_õpetaja;asendus_õpetaja;;42600
esindaja;esindaja;;42600
tootja;tootja;;42600
kartuli_kasvataja;kartuli_kasvataja;;42600
kartuli_kasvataja;kartuli_kasvataja;;42600
kartuli_kasvataja;kartuli_kasvataja;;42600
esindaja;esindaja;;42600
esindaja;esindaja;;42600
aja_teenija;aja_teenija;;42600
müüja;müüja;;42600
aja_teenija;aja_teenija;;42600
uurija;uurija;;42600
ase_täitja;ase_täitja;;42600
pressi_esindaja;pressi_esindaja;;42600
esindaja;esindaja;;42600
julge_oleku_esindaja;julgeoleku_esindaja;;42600
esindaja;esindaja;;42600
liituja;liituja;;42600
liituja;liituja;;42600
liituja;liituja;;42600
pressi_esindaja;pressi_esindaja;;42600
pressi_esindaja;pressi_esindaja;;42600
pressi_esindaja;pressi_esindaja;;42600
pääste_töötaja;pääste_töötaja;;42600
pääste_töötaja;pääste_töötaja;;42600
võitja;võitja;;42600
saaja;saaja;;42600
võitja;võitja;;42600
looja;looja;;42600
leiutaja;leiutaja;;42600
võitleja;võitleja;;42600
võitleja;võitleja;;42600
politsei_töötaja;politsei_töötaja;;42600
uimasti_kaubitseja;uimasti_kaubitseja;;42600
korra_kaitsja;korra_kaitsja;;42600
ostja;ostja;;42600
ostja;ostja;;42600
ase_juhataja;ase_juhataja;;42600
külastaja;külastaja;;42600
gaasi_mõõtja;gaasi_mõõtja;;42600
asja_tundja;asja_tundja;;42600
esindaja;esindaja;;42600
ette_võtja;ette_võtja;;42600
pääste_töötaja;pääste_töötaja;;42600
pisi_kurja_tegija;pisi_kurja_tegeja;tegelt i;42600
vaatleja;vaatleja;;42600
pressi_esindaja;pressi_esindaja;;42600
pressi_esindaja;pressi_esindaja;;42600
pürgija;pürgija;;42600
leiva_tootja;leiva_tootja;;42600
ostja;ostja;;42600
nisu_kasvataja;nisu_kasvataja;;42600
tootja;tootja;;42600
leiva_tootja;leiva_tootja;;42600
pea_toimetaja;pea_toimetaja;;42600
tegija;tegeja;tegelt i;42600
heli_looja;heli_looja;;42600
tegija;tegeja;tegelt i;42600
tegija;tegeja;tegelt i;42600
võitja;võitja;;42600
kaotaja;kaotaja;;42600
kaotaja;kaotaja;;42600
suhtleja;suhtleja;;42600
interneti_suhtleja;interneti_suhtleja;;42600
ellu_viija;ellu_viija;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
geo_graafia_õpetaja;geograafia_õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
tunni_andja;tunni_andja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
klassi_juhataja;klassi_juhataja;;42600
klassi_juhataja;klassi_juhataja;;42600
klassi_juhataja;klassi_juhataja;;42600
klassi_juhataja;klassi_juhataja;;42600
klassi_juhataja;klassi_juhataja;;42600
klassi_juhataja;klassi_juhataja;;42600
hindaja;hindaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õpetaja;õpetaja;;42600
õppija;õppija;;42600
haridus_töötaja;haridus_töötaja;;42600
tagaja;tagaja;;42600
õppija;õppija;;42600
auto_müüja;auto_müüja;;42600
ostja;ostja;;42600
ostja;ostja;;42600
ette_võtja;ette_võtja;;42600
ostja;ostja;;42600
müüja;müüja;;42600
tegija;tegeja;tegelt i;42600
ostja;ostja;;42600
auto_tootja;auto_tootja;;42600
müügi_näitaja;müügi_näitaja;;42600
ostja;ostja;;42600
pressi_esindaja;pressi_esindaja;;42600
müügi_näitaja;müügi_näitaja;;42600
pressi_esindaja;pressi_esindaja;;42600
tarbija;tarbija;;42600
ostja;ostja;;42600
taga_istuja;taga_istuja;;42600
sõitja;sõitja;;42600
taga_istuja;taga_istuja;;42600
taga_istuja;taga_istuja;;42600
ostja;ostja;;42600
sõitja;sõitja;;42600
asendaja;asendaja;;42600
sõitja;sõitja;;42600
olija;oleja;tegelt i;42600
kaas_reisija;kaas_reisija;;42600
laulja;laulja;;42600
laulja;laulja;;42600
laulja;laulja;;42600
trooni_pärija;trooni_pärija;;42600
õpetaja;õpetaja;;42600
valija;valija;;42600
teisiti_mõtleja;teisiti_mõtleja;;42600
asendaja;asendaja;;42600
ehitaja;ehitaja;;42600
pakkuja;pakkuja;;42600
juhataja;juhataja;;42600
juhataja;juhataja;;42600
valija;valija;;42600
valitseja;valitseja;;42600
poliitika_vaatleja;poliitika_vaatleja;;42600
ehitaja;ehitaja;;42600
plaadi_müüja;plaadi_müüja;;42600
tausta_laulja;tausta_laulja;;42600
pea_toimetaja;pea_toimetaja;;42600
juhataja;juhataja;;42600
rahastaja;rahastaja;;42600
lavastaja;lavastaja;;42600
raamatu_levitaja;raamatu_levitaja;;42600
raamatu_levitaja;raamatu_levitaja;;42600
raamatu_levitaja;raamatu_levitaja;;42600
suhte_korraldaja;suhte_korraldaja;;42600
levitaja;levitaja;;42600
esindaja;esindaja;;42600
esindaja;esindaja;;42600
tegija;tegeja;tegelt i;42600
aja_viitja;aja_viitja;;42600
ahel_tossaja;ahel_tossaja;;42600
ahel_suitsetaja;ahel_suitsetaja;;42600
austaja;austaja;;42600
ruja;ruja;välja;42600
luuletaja;luuletaja;;42600
luuletaja;luuletaja;;42600
CD_mängija;CD_mängija;;42600
luuletaja;luuletaja;;42600
õpetaja;õpetaja;;42600
juhataja;juhataja;;42600
juhataja;juhataja;;42600
luuletaja;luuletaja;;42600
laulja;laulja;;42600
mees_laulja;mees_laulja;;42600
nais_laulja;nais_laulja;;42600
näitleja;näitleja;;42600
laulja;laulja;;42600
kickpoksija;kick_poksija;;42600
kickpoksija;kick_poksija;;42600
imetleja;imetleja;;42600
tarbija;tarbija;;42600
pidaja;pidaja;;42600
tarvitaja;tarvitaja;;42600
tarbija;tarbija;;42600
tarvitaja;tarvitaja;;42600
taltsutaja;taltsutaja;;42600
valju_hääldaja;valju_hääldaja;;42600
ostja;ostja;;42600
võitja;võitja;;42600
juhendaja;juhendaja;;42600
diagonaal_ründaja;diagonaal_ründaja;;42600
suusataja;suusataja;;42600
imestaja;imestaja;;42600
juhataja;juhataja;;42600
sobitaja;sobitaja;;42600
algaja;algaja;;42600
algaja;algaja;;42600
reguleerija;reguleerija;;42600
algaja;algaja;;42600
algaja;algaja;;42600
algaja;algaja;;42600
kaotaja;kaotaja;;42600
karika_võitja;karika_võitja;;42600
sõitja;sõitja;;42600
võitja;võitja;;42600
juhendaja;juhendaja;;42600
algaja;algaja;;42600
algaja;algaja;;42600
harrastaja;harrastaja;;42600
kuulaja;kuulaja;;42600
tegija;tegeja;tegelt i;42600
tegija;tegeja;tegelt i;42600
õpetaja;õpetaja;;42600
mängija;mängija;;42600
õpetaja;õpetaja;;42600
mängija;mängija;;42600
korraldaja;korraldaja;;42600
tegija;tegeja;tegelt i;42600
korraldaja;korraldaja;;42600
uurija;uurija;;42600
pealt_vaataja;pealt_vaataja;;42600
võitja;võitja;;42600
lühi_raja;lühi_raja;välja;42600
loobuja;loobuja;;42600
lühi_raja;lühi_raja;välja;42600
müüja;müüja;;63900
pressi_esindaja;pressi_esindaja;;63900
uurija;uurija;;63900
maksu_maksja;maksu_maksja;;63900
tarnija;tarnija;;63900
töö_võtja;töö_võtja;;63900
tarbija;tarbija;;63900
tellija;tellija;;63900
tarbija;tarbija;;63900
töö_võtja;töö_võtja;;63900
tarbija;tarbija;;63900
töö_võtja;töö_võtja;;63900
tarbija;tarbija;;63900
maksu_maksja;maksu_maksja;;63900
maksu_maksja;maksu_maksja;;63900
maksu_maksja;maksu_maksja;;63900
maksja;maksja;;63900
töötaja;töötaja;;63900
töötaja;töötaja;;63900
töötaja;töötaja;;63900
arvutaja;arvutaja;;63900
ostja;ostja;;63900
